Company, Heuresis Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model, Pb200i,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type, XRF Lead Paint Analyzer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Num.,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,
App Version, Pb200i-4.1-11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Job Id,Reading #,Concentration,Units,3 SD,Result,Calibration Reading,Action Level,RTA Present,Read Through,NomSecs,Date,Time,User,Mode,Analytic Mode,Latitude,Longitude,Accuracy,Job,Location,Room,Side,Componet ,-->Member,Substrate,Condition,-->Cause,Color
,223,1.1,mg/cm2,0.2,Positive,FALSE,1,FALSE,FALSE,5,5/4/2022,12:51:20,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 4,B,Door,Frame,Wood,Intact,,White
,224,-0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:52:19,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 4,A,Window,Sill,Wood,Intact,,White
,225,0.2,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:52:42,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 4,A,Window,Frame,Wood,Intact,,White
,226,0.7,mg/cm2,0.2,Negative,FALSE,1,FALSE,FALSE,5,5/4/2022,12:53:12,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 4,A,Window,Sash,Wood,Intact,,White
,227,0.9,mg/cm2,0.2,Negative,FALSE,1,FALSE,FALSE,5,5/4/2022,12:55:31,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 5,A,Window,Sash,Wood,Intact,,White
,228,3.8,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,12:56:04,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 5,A,Window,Sill,Wood,Intact,,White
,229,2.7,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,12:56:32,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 5,A,Window,Frame,Wood,Intact,,White
,230,0,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:57:07,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 5,A,Room,Wall,Drywall,Intact,,Red
,231,1.6,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,12:57:48,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 5,D,Door,,Wood,Deteriorated,,Brown
,232,2.8,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,12:58:27,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 5,D,Door,Jamb,Wood,Intact,,White
,233,1.8,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,12:58:55,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 5,D,Door,Frame,Wood,Intact,,White
,234,0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:59:40,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Family Room,D,Room,Wall,Drywall,Intact,,Tan
,235,-0.2,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:00:10,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Family Room,A,Window,Sill,Wood,Intact,,White
,236,-0.2,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:00:29,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Family Room,A,Window,Sash,Wood,Intact,,White
,237,-0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:00:49,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Family Room,A,Window,Frame,Wood,Intact,,White
,238,-0.2,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:01:33,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 6,B,Door,---,Wood,Intact,,Brown
,239,0,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:01:53,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 6,B,Door,Jamb,Wood,Intact,,White
,240,0.2,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:02:10,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 6,B,Door,Frame,Wood,Intact,,White
,241,-0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:03:26,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Hallway,A,Room,Wall,Wood,Intact,,White
,242,-0.2,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:04:10,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bathroom 2,A,Room,Wall,Drywall,Intact,,Blue
,243,2,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,13:04:38,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bathroom 2,C,Window,Sill,Wood,Intact,,White
,244,9.3,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,13:05:06,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bathroom 2,C,Window,Frame,Wood,Intact,,White
,245,0.5,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:05:42,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bathroom 2,C,Door,---,Wood,Intact,,White
,246,1.6,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,13:05:58,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bathroom 2,C,Door,Jamb,Wood,Intact,,White
,247,4.7,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,13:06:31,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bathroom 2,C,Door,Frame,Wood,Intact,,White
,248,0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:07:11,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bathroom 2,A,Tub ,,Ceramic,Intact,,White
,249,0.2,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:20:11,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,House,A,Column,,Wood,Intact,,White
,250,0.2,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,13:20:46,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,House,A,Stair,,Concrete,Deteriorated,,Red
,251,7.5,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,13:21:18,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,House,A,Soffit,,Wood,Intact,,White
,252,0.8,mg/cm2,0.2,Negative,FALSE,1,FALSE,FALSE,5,5/4/2022,13:21:50,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,House,A,Fascia,,Wood,Intact,,White
,253,8.1,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,13:22:28,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,House,A,Window,Frame,Wood,Intact,,White
