Company, Heuresis Corp.
Model, Pb200i
Type, XRF Lead Paint Analyzer
Serial Num., 2009
App Version, Pb200i-4.1-11

Job Id,Reading #,Concentration,Units,3 SD,Result,Calibration Reading,Action Level,RTA Present,Read Through,NomSecs,Date,Time,User,Mode,Analytic Mode,Latitude,Longitude,Accuracy,Job,Location,Room,Side,Componet ,-->Member,Substrate,Condition,-->Cause,Color,
,63,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:59:34,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,A,Window,Sash,Wood,Deteriorated,,Black,
,64,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,09:00:02,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,A,Room,Wall,Vinyl,Intact,,White,
,65,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,09:00:48,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,B,Room,Wall,Vinyl,Intact,,White,
,66,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,09:01:10,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,B,Window,Sill,Vinyl,Deteriorated,,White,
,67,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,09:01:30,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,B,Window,Frame,Vinyl,Intact,,White,
,68,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,09:01:49,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,C,Window,Frame,Vinyl,Intact,,White,
,69,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,09:02:10,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,C,Window,Sill,Vinyl,Deteriorated,,White,
,70,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,09:02:44,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,C,Window,Sash,Wood,Deteriorated,,Black,
,71,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,09:03:08,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,C,Room,Wall,Vinyl,Intact,,White,
,72,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,09:03:31,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,D,Room,Wall,Vinyl,Intact,,White,
,73,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,09:03:50,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,D,Door,Frame,Vinyl,Intact,,White,
,74,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,09:04:15,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,House,D,Door,---,Wood,Deteriorated,,Black,
